name,price,brand,instock,rating,rating_count
"LEGO 76951 Jurassic World Pyroraptor & Dilophosaurus Transport Playset, Dinosaur Toys for Kids 7 Plus Years Old with 2 Dino Figures and Off Roader Truck Toy",31.99,LEGO,In stock,4.8 out of 5 stars,827 ratings
"Fanbusa Dinosaur Toys for Boys Age 3,Toddler Toys for 2 Year Old Boy with 12 Mini Dino,Dinosaurs Transport Car Carrier Truck for Kids 3-5 Years Old, Kids' Play Dinosaur Set Gifts for Girls 1 2 3",12.99,,In stock,4.3 out of 5 stars,81 ratings
"​Jurassic World Dominion Uncaged Rowdy Roars Velociraptor Beta Dinosaur Action Figure, Toy Gift with Interactive Motion and Sound Touch Response​",11.85,,In stock,3.6 out of 5 stars,28 ratings
"​Jurassic World Dominion Roar Strikers Ankylosaurus Dinosaur Action Figure with Roaring Sound and Attack Action, Toy Gift Physical & Digital Play ​​, HDX36",22.99,,Only 11 left in stock,4.7 out of 5 stars,101 ratings
"Jurassic World Camp Cretaceous Control ‘N Conquer Carnotaurus Toro Large Dinosaur, Primal Attack Feature, Sounds, Map & Stickers, Ages 4 Years & Up​ - GNL07",38.99,,In stock,4.7 out of 5 stars,"6,955 ratings"
"Jurassic World JW-HC-14CDU CAPTIVZ HATCHLINGS Edition Eggs with BUILDABLE Baby Dinosaur Toy and Slime. Ideal Present for Boys and Girls. Styles Vary, ONE SUPLKIED at Random",6.0,,In stock,3.0 out of 5 stars,2 ratings
"Jurassic World Dominion Dinosaur Figure Dryptosaurus Wild Roar with Sound & Attack Action, Medium Size Posable, Toy Gift with Connected Digital Play​",15.99,,In stock,4.7 out of 5 stars,50 ratings
Prehistoric World Remote Control Dinosaurs - Full Function 4-Way Walking Raptor Dinosaur - Jurassic Dinosaur Toys For Boys - Rechargable Robot Dinosaur - FREE Controller Batteries (Colour - Blue),19.99,,In stock,4.1 out of 5 stars,51 ratings
"Jurassic World Dominion Roar Strikers Liopluerodon Aquatic Dinosaur Action Figure with Attack Motion and Sound, Toy Gift with Physical and Digital Play​",17.6,,In stock,4.8 out of 5 stars,471 ratings
"Jurassic World Dominion Massive Action Ampelosaurus Dinosaur Action Figure with Motion and Sound, Toy Gift with Physical and Digital Play​",12.99,,In stock,4.8 out of 5 stars,367 ratings
"Jurassic World Dominion Uncaged Rowdy Roars Atrociraptor Dinosaur Action Figure, Toy Gift with Interactive Motion and Sound Touch Response​​​",18.23,,In stock,4.8 out of 5 stars,"1,424 ratings"
"Jurassic World REAL FX Baby Blue Dinosaur Toy | Hyper-Realistic Animatronic Dinosaur | Life-Like Movements and Real Movie Sounds | Jurassic World Dominion Official Toys | Ages 7,8,9 to adult",74.99,WOW! STUFF,Only 1 left in stock,4.9 out of 5 stars,30 ratings
"​Jurassic World Dominion Roar Strikers Skorpiovenator Dinosaur Action Figure with Roaring Sound and Attack Action, Toy Gift Physical & Digital Play ​, HDX37",14.99,,In stock,4.7 out of 5 stars,842 ratings
"Jurassic World Dominion Massive Action Siamosaurus Dinosaur Figure, Attack Action & Chomp, Large Range of Motion, Physical & Digital Play 4 Years & Up",14.81,,In stock,4.8 out of 5 stars,344 ratings
Jurassic World GWN26 Jurassic Park/World Extreme Damage Tyrannosaurus REX,23.67,,Only 10 left in stock,4.7 out of 5 stars,99 ratings
Mattel Jurassic World - Extreme Damage Roarin' Allosaurus (HFK06),24.99,Mattel,In stock,4.7 out of 5 stars,14 ratings
"Rubie's Jurassic World Fallen Kingdom Tyrannosaurus Rex Dinosaur Mask with Movable Jaw, One size",9.99,Rubie's,In stock,3.6 out of 5 stars,342 ratings
"Jurassic World Dominion Claire and Dilophosaurus Human and Dino Pack with 2 Action Figures and Accessories, Toy Gift Set and Collectible",23.0,,In stock,3.6 out of 5 stars,13 ratings
"Jurassic World Dominion Minis Giganotosaurus Rampage Playset with 2 Mini Dinosaur Figures and Break Apart Features, Toy Gift Set ​",15.99,,In stock,4.4 out of 5 stars,422 ratings
Jurassic World Roar Attack Kentrosaurus Dinosaur Dino Figure,18.49,,Only 3 left in stock,4.8 out of 5 stars,431 ratings
"​Jurassic World Dominion Massive Action Yangchuanosaurus Dinosaur Figure with Attack Movement, Toy Gift with Physical and Digital Play​, HDX49",19.99,,Only 12 left in stock,4.7 out of 5 stars,58 ratings
"Jurassic World Extreme Chompin' Spinosaurus Dinosaur Action Figure, Huge Bite, Authentic Decoration, Movable Joints, Ages 4+ - Amazon Exclusive",35.34,,In stock,4.6 out of 5 stars,"3,372 ratings"
"​Jurassic World Dominion Roar Strikers Rajasaurus Dinosaur Action Figure with Roaring Sound and Attack Action, Toy Gift Physical & Digital Play ​, HDX35",12.99,,In stock,4.5 out of 5 stars,116 ratings
"​Jurassic World Dominion Massive Action Quetzalcoatlus Dinosaur Action Figure with Attack Movement, Toy Gift with Physical and Digital Play​",25.97,,In stock,4.6 out of 5 stars,100 ratings
"​Jurassic World Dominion Dinosaur Figure Gigantic Trackers Stegosaurus with Attack Motion & Tracking Gear, Toy Gift with Physical & Digital Play​​, HLP24",23.33,,In stock,4.9 out of 5 stars,26 ratings
"Jurassic World Dominion Uncaged Ultimate Pyroraptor Dinosaur Toy, Action Figure with Interactive Motion and Sound, GYW89",59.99,,Only 5 left in stock,4.8 out of 5 stars,210 ratings
"Tumblin’ Raptors Jurassic World Dominion Game with Movie Inspired Tower, Sticks and Toy Velociraptor Dinosaurs, 5y+, GWP20",22.99,Mattel Games,In stock,4.6 out of 5 stars,280 ratings
"​Jurassic World Dominion Gigantic Tracker Sinotyrannus Large Dinosaur Figure with Attack Motion & Tracking Gear, Toy Gift with Physical & Digital Play​",23.33,,In stock,4.6 out of 5 stars,20 ratings
"Fisher-Price Imaginext Jurassic World Dominion Break Out Dino Hauler, T. Rex Dinosaur and Vehicle Set for Preschool Kids Ages 3 and Up",19.99,Fisher-Price,In stock,4.9 out of 5 stars,20 ratings
"Clementoni 80512 Supercolor Jurassic World Dominion-104 Pieces-Children Jigsaw Puzzle Age 6, Made in Italy, Multicolour",6.79,Clementoni,In stock,4.5 out of 5 stars,41 ratings
Jurassic World Kids Backpack Dinosaur Blue,19.95,,In stock,4.6 out of 5 stars,"1,235 ratings"
Jurassic World Roar Attack Ceratosaurus - Dinosaur Figure with Movable Joints - Strike Action - 3 Sound Levels - App Compatible - Gift for Kids 4+ - HCL92,14.99,,In stock,4.7 out of 5 stars,"1,219 ratings"
Jurassic World HLP18 Toy,16.99,,In stock,4.8 out of 5 stars,5 ratings
